Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV ROC-AUC Mean,CV ROC-AUC Std
Random Forest,0.894927536231884,0.8974358974358975,0.9150326797385621,0.9061488673139159,0.9406982305117169,0.9251843118314701,0.025616485848652067
XGBoost,0.8985507246376812,0.8930817610062893,0.9281045751633987,0.9102564102564102,0.9380413411977256,0.928047123220213,0.026252723544336824
Logistic Regression,0.8695652173913043,0.8926174496644296,0.869281045751634,0.8807947019867549,0.9323024602795047,0.9224214100032672,0.019084410491062357
Decision Tree,0.855072463768116,0.8951048951048951,0.8366013071895425,0.8648648648648649,0.9146872841277432,0.9043464210122589,0.025947103781077865
